time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_HEADON,INTR_HEADON,0.0,22215.4,2998.3,2998.3,86.37,0.0,CLEAR,0,10000.8,10000.8,25.00,25.00,12999.2,12999.2,-25.00,-25.00
0.00,INTR_HEADON,OWN_HEADON,-0.0,-22215.4,-2998.3,-2998.3,86.37,0.0,CLEAR,0,12999.2,12999.2,-25.00,-25.00,10000.8,10000.8,25.00,25.00
0.03,OWN_HEADON,INTR_HEADON,0.0,22206.9,2996.7,2996.7,86.33,0.0,CLEAR,0,10001.7,10001.7,25.00,25.00,12998.3,12998.3,-25.00,-25.00
0.03,INTR_HEADON,OWN_HEADON,-0.0,-22206.9,-2996.7,-2996.7,86.33,0.0,CLEAR,0,12998.3,12998.3,-25.00,-25.00,10001.7,10001.7,25.00,25.00
0.07,OWN_HEADON,INTR_HEADON,0.0,22198.3,2995.0,2995.0,86.30,0.0,CLEAR,0,10002.5,10002.5,25.00,25.00,12997.5,12997.5,-25.00,-25.00
0.07,INTR_HEADON,OWN_HEADON,-0.0,-22198.3,-2995.0,-2995.0,86.30,0.0,CLEAR,0,12997.5,12997.5,-25.00,-25.00,10002.5,10002.5,25.00,25.00
0.10,OWN_HEADON,INTR_HEADON,0.0,22189.7,2993.3,2993.3,86.27,0.0,CLEAR,0,10003.3,10003.3,25.00,25.00,12996.7,12996.7,-25.00,-25.00
0.10,INTR_HEADON,OWN_HEADON,-0.0,-22189.7,-2993.3,-2993.3,86.27,0.0,CLEAR,0,12996.7,12996.7,-25.00,-25.00,10003.3,10003.3,25.00,25.00
0.13,OWN_HEADON,INTR_HEADON,0.0,22181.1,2991.7,2991.7,86.23,0.0,CLEAR,0,10004.2,10004.2,25.00,25.00,12995.8,12995.8,-25.00,-25.00
0.13,INTR_HEADON,OWN_HEADON,-0.0,-22181.1,-2991.7,-2991.7,86.23,0.0,CLEAR,0,12995.8,12995.8,-25.00,-25.00,10004.2,10004.2,25.00,25.00
0.17,OWN_HEADON,INTR_HEADON,0.0,22172.6,2990.0,2990.0,86.20,0.0,CLEAR,0,10005.0,10005.0,25.00,25.00,12995.0,12995.0,-25.00,-25.00
0.17,INTR_HEADON,OWN_HEADON,-0.0,-22172.6,-2990.0,-2990.0,86.20,0.0,CLEAR,0,12995.0,12995.0,-25.00,-25.00,10005.0,10005.0,25.00,25.00
0.20,OWN_HEADON,INTR_HEADON,0.0,22164.0,2988.3,2988.3,86.17,0.0,CLEAR,0,10005.8,10005.8,25.00,25.00,12994.2,12994.2,-25.00,-25.00
0.20,INTR_HEADON,OWN_HEADON,-0.0,-22164.0,-2988.3,-2988.3,86.17,0.0,CLEAR,0,12994.2,12994.2,-25.00,-25.00,10005.8,10005.8,25.00,25.00
0.23,OWN_HEADON,INTR_HEADON,0.0,22155.4,2986.7,2986.7,86.13,0.0,CLEAR,0,10006.7,10006.7,25.00,25.00,12993.3,12993.3,-25.00,-25.00
0.23,INTR_HEADON,OWN_HEADON,-0.0,-22155.4,-2986.7,-2986.7,86.13,0.0,CLEAR,0,12993.3,12993.3,-25.00,-25.00,10006.7,10006.7,25.00,25.00
0.27,OWN_HEADON,INTR_HEADON,0.0,22146.8,2985.0,2985.0,86.10,0.0,CLEAR,0,10007.5,10007.5,25.00,25.00,12992.5,12992.5,-25.00,-25.00
0.27,INTR_HEADON,OWN_HEADON,-0.0,-22146.8,-2985.0,-2985.0,86.10,0.0,CLEAR,0,12992.5,12992.5,-25.00,-25.00,10007.5,10007.5,25.00,25.00
0.30,OWN_HEADON,INTR_HEADON,0.0,22138.3,2983.3,2983.3,86.07,0.0,CLEAR,0,10008.3,10008.3,25.00,25.00,12991.7,12991.7,-25.00,-25.00
0.30,INTR_HEADON,OWN_HEADON,-0.0,-22138.3,-2983.3,-2983.3,86.07,0.0,CLEAR,0,12991.7,12991.7,-25.00,-25.00,10008.3,10008.3,25.00,25.00
0.33,OWN_HEADON,INTR_HEADON,0.0,22129.7,2981.7,2981.7,86.03,0.0,CLEAR,0,10009.2,10009.2,25.00,25.00,12990.8,12990.8,-25.00,-25.00
0.33,INTR_HEADON,OWN_HEADON,-0.0,-22129.7,-2981.7,-2981.7,86.03,0.0,CLEAR,0,12990.8,12990.8,-25.00,-25.00,10009.2,10009.2,25.00,25.00
0.37,OWN_HEADON,INTR_HEADON,0.0,22121.1,2980.0,2980.0,86.00,0.0,CLEAR,0,10010.0,10010.0,25.00,25.00,12990.0,12990.0,-25.00,-25.00
0.37,INTR_HEADON,OWN_HEADON,-0.0,-22121.1,-2980.0,-2980.0,86.00,0.0,CLEAR,0,12990.0,12990.0,-25.00,-25.00,10010.0,10010.0,25.00,25.00
0.40,OWN_HEADON,INTR_HEADON,0.0,22112.5,2978.3,2978.3,85.97,0.0,CLEAR,0,10010.8,10010.8,25.00,25.00,12989.2,12989.2,-25.00,-25.00
